Parameter,Definition,Extened Definition
Policy name,"The official name of the policy, usually found at the beginning of each policy as a header","An economic policy is a policy designed to have a direct and intended economic impact i.e. intended and direct impact on GDP = government spending/revenues + investment + consumption + net exports. 
Examples of such policies include:
1. Establishing a new governmental entity that generates revenue for the government
2. Creating an investment zone to attract capital into the Emirate
3. Policies related to pension funds
4. Establishing or converting companies into Public Joint Stock Companies (PJSC)
5. Setting up free zones for industrial or commercial activities
6. Introducing tolls, tariffs, or fees that contribute to government revenue
7. Insurance policies
8. Enhancing governmental capabilities that yield direct economic benefits
9. Job creation initiatives
10. Incentive programs
11. Digitization of government services (less government spending on paper for example)

Exclusions: Policies that do not have a direct economic impact, such as purely governance-related policies, board appointments and reformations, judicial policies, social policies, and strictly environmental policies, are not considered economic policies.
Examples of such policies include:
1. Guidelines for Cemetery Organization and Development in Abu Dhabi (Purely social)
2. Public Transport Regulation Policy (Purely regulatory)
3. Volunteer Work Policy (Social/ regulatory)

Sample prompt: Please detect whether or not a policy qualifies as economic as per the attached ""economic policy"" definition and state (in the newly created) column B whether it is an economic policy or if it is not an economic policy.For the purpose of identification of policies, please consider the following:
1. Identification of a unique policy name as per typical templates of naming policy including but not limited to the following examples:
a. Law No. (XX) of Year YYYY concerning the...
b. Chairman of the Executive Council Resolution No. (XX) of Year YYYY concerning the...
c. Executive Council Resolution No. (XX) of Year YYYY concerning the...
d. Amiri Decree No. (XX) of Year YYYY concerning the...
e. Circular No. (XX) of Year YYYY concerning the...

2. Identification of unique policies could be undertaken in batches of pages instead of going through the large document all at once (mainly applicable to Gazettes)."
Relevance,"For policies that have been classified as ""Not A Policy"" we would still want the policy name for our internal review. 

Instead we can create a separate column to identify if a policy has been identified as ""relevant"" or ""not relevant"". 

Further, the name of the policy should be identified as per the guidelines provided in S.No. 2.",
Issuing year,The year the policy was officially issued. It may be stated in the policy name or identified from the its publication date found within the document,
Table?,"We would require a new column which identifies if a policy document has any tables or numeric values as it could have an financial/economic implication.

Sample prompt:
Please go through the policy document in entirety and in a separate column identify as ""Yes"" if the policy document has any specific values, rates, tariffs or tables that could impact the economy. Else, the answer could be ""No"".",
Policy summary,"We want other policy stakeholders, apart from the policy owner(s), to be identified as explicitly mentioned in the policy document. We do not want the tool to ideate on relevant stakeholders.

Sample prompt:
Please go through the relevant policy document in entirety and identify any key stakeholders mentioned explicitly in the policy document who would perform a role in the policy implementation. ",
Goals,The high-level aims the policy wants to achieve (more qualitative); e.g. to attract foreign investment,"We would require the tool to further detail out the summary, objectives and goals of the policy. We want the tool to exhaustively go through the policy and identify all goals and objectives explicitly state in the policy.

Sample prompt:
Please read through each policy in detail and extract the goals and objectives of each policy as specified in the policy document in bullet formats in the respective columns. Further, if a policy document explicitly uses keywords or section headers such as ""goals"" or ""objectives"", ensure to record a summary of that section in the respective columns."
Objectives,"Specific, actionable, and measurable targets that the policy aims to achieve (more quantitative); e.g. increase funding available for incentive programs by AED x; increase FDI growth by 2%, etc.","We would require the tool to further detail out the summary, objectives and goals of the policy. We want the tool to exhaustively go through the policy and identify all goals and objectives explicitly state in the policy.

Sample prompt:
Please read through each policy in detail and extract the goals and objectives of each policy as specified in the policy document in bullet formats in the respective columns. Further, if a policy document explicitly uses keywords or section headers such as ""goals"" or ""objectives"", ensure to record a summary of that section in the respective columns."
Situation analysis (context),The background or reasons why the policy was needed establishing the context for it e.g. historically growth in the sector has been primarily funded by public sector investment and AD has an interest to increase private sector participation to offset/minimize this,
Legislative instrument,"The legal tool used to enforce the policy
This must be tagged to one of the following options:
1. UAE Constitution: The highest source of all legislation in the country, establishing the general foundations of the legal and legislative system (we will not get examples of this)
2. Federal Law: Issued by the Federal National Council and ratified by the President of the State
3. Decree by Law: Issued directly by the President of the State in urgent cases that do not allow for delays (such as during periods when the Federal National Council is not in session), and they carry the force of law
4. Federal Regulation and Decision: Issued by the Cabinet or relevant federal regulatory authorities to implement and interpret federal laws
5. Local Law of the Emirate of Abu Dhabi: Issued by the Ruler of the Emirate to regulate local matters, provided they do not conflict with federal laws
6. Amiri Decree: Issued by the Ruler of Abu Dhabi to address specific matters within the Emirate
7. Executive Council Decisions for the Emirate of Abu Dhabi: Issued by the Executive Council, addressing public policies and executive procedures within the Emirate
8. Executive Regulation and Local Regulatory Decision: Issued by relevant government entities, such as the Department of Economic Development, to regulate economic and administrative activities in accordance with applicable laws

","USe these mappings -----> Legislative instrument - >	Mapping
UAE Constitution->	NA
Federal Law -> 	Federal Law
Decree by Law - >	NA
Federal Regulation and Decision ->	Cabinet Resolution 
Local Law of the Emirate of Abu Dhabi ->	Law 
Amiri Decree	-> Amiri Decree
Executive Council Decisions for the Emirate of Abu Dhabi	- >Executive Council Resolution, Circular 
Executive Regulation and Local Regulatory Decision - >	Regulatory Policy"
Federal/ Emirate,"Whether the policy is developed on the federal level or just the Emirate of Abu Dhabi's level
This must be tagged to one of the following options:
1. Federal
2.Emirate",
Region,"The geographical area covered by the policy would be as follows:
1. All (Emirate of Abu Dhabi, Abu Dhabi)
2. Abu Dhabi City
3. Al Ain
4. Al Dhafra
5. Abu Dhabi City & Al Ain
6. Al Ain & Al Dhafra
7. Abu Dhabi City & Al Dhafra

Sample prompt:
If the policy explicitly states that its authority is limited to Abu Dhabi City, Al Ain, Al Dhafra, Abu Dhabi City & Al Ain, Abu Dhabi City & Al Dhafra, or Al Ain & Al Dhafra, mention the specified region accordingly. Otherwise, if the policy refers to the entire Emirate of Abu Dhabi, simply mentions ""Abu Dhabi,"" or does not specify a region, classify it as ""All"".",
